127.0.0.1 - - [31/Mar/2017:07:03:44 +0545] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:17 +0545] "GET /StudentManagementSystem/StudentController?actions=add HTTP/1.1" 200 3725
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:17 +0545] "GET /StudentManagementSystem/resources/css/styles.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:17 +0545] "GET /StudentManagementSystem/resources/js/customValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:31 +0545] "GET /StudentManagementSystem/StudentController?actions=list HTTP/1.1" 200 6694
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:31 +0545] "GET /StudentManagementSystem/resources/css/styles.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:31 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=5 HTTP/1.1" 200 13454
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:31 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=1 HTTP/1.1" 200 9730
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:31 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=12 HTTP/1.1" 200 240189
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:31 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=15 HTTP/1.1" 200 240189
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:31 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=16 HTTP/1.1" 200 135132
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:31 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=4 HTTP/1.1" 200 240189
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:31 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=19 HTTP/1.1" 200 135132
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:31 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=20 HTTP/1.1" 200 135132
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:31 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=21 HTTP/1.1" 200 13454
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:33 +0545] "GET /StudentManagementSystem/StudentController?actions=edit&id=21 HTTP/1.1" 200 3784
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:33 +0545] "GET /StudentManagementSystem/resources/css/styles.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:36 +0545] "GET /StudentManagementSystem/StudentController?actions=list HTTP/1.1" 200 6694
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:36 +0545] "GET /StudentManagementSystem/resources/css/styles.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:36 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=1 HTTP/1.1" 200 9730
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:36 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=5 HTTP/1.1" 200 13454
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:36 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=4 HTTP/1.1" 200 240189
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:36 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=12 HTTP/1.1" 200 240189
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:36 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=15 HTTP/1.1" 200 240189
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:36 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=19 HTTP/1.1" 200 135132
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:36 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=16 HTTP/1.1" 200 135132
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:36 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=20 HTTP/1.1" 200 135132
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:36 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=21 HTTP/1.1" 200 13454
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:39 +0545] "GET /StudentManagementSystem/StudentController?actions=delete&id=4 HTTP/1.1" 200 6180
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:39 +0545] "GET /StudentManagementSystem/resources/css/styles.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:39 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=1 HTTP/1.1" 200 9730
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:39 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=5 HTTP/1.1" 200 13454
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:39 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=15 HTTP/1.1" 200 240189
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:39 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=16 HTTP/1.1" 200 135132
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:39 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=12 HTTP/1.1" 200 240189
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:39 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=19 HTTP/1.1" 200 135132
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:39 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=20 HTTP/1.1" 200 135132
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:39 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=21 HTTP/1.1" 200 13454
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:42 +0545] "GET /StudentManagementSystem/UserController?action=listUser HTTP/1.1" 200 5365
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:42 +0545] "GET /StudentManagementSystem/resources/css/styles.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:47 +0545] "GET /StudentManagementSystem/UserController?action=edit&userid=7 HTTP/1.1" 200 3848
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:47 +0545] "GET /StudentManagementSystem/resources/css/styles.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:54 +0545] "GET /StudentManagementSystem/UserController?action=delete&userid=5 HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:54 +0545] "GET /StudentManagementSystem/resources/css/styles.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:56 +0545] "GET /StudentManagementSystem/UserController?action=insert HTTP/1.1" 200 4388
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:56 +0545] "GET /StudentManagementSystem/resources/css/styles.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:59 +0545] "GET /StudentManagementSystem/StudentController?actions=list HTTP/1.1" 200 6180
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:59 +0545] "GET /StudentManagementSystem/resources/css/styles.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:59 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=1 HTTP/1.1" 200 9730
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:59 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=15 HTTP/1.1" 200 240189
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:59 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=5 HTTP/1.1" 200 13454
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:59 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=12 HTTP/1.1" 200 240189
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:59 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=19 HTTP/1.1" 200 135132
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:59 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=16 HTTP/1.1" 200 135132
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:59 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=20 HTTP/1.1" 200 135132
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:59 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=21 HTTP/1.1" 200 13454
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:05:02 +0545] "GET /StudentManagementSystem/UserController?action=userprofile&userid=1 HTTP/1.1" 200 2209
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:05:02 +0545] "GET /StudentManagementSystem/resources/css/styles.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:05:17 +0545] "GET /StudentManagementSystem/previousUserPassword.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:05:17 +0545] "GET /StudentManagementSystem/resources/css/styles.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:05:26 +0545] "GET /StudentManagementSystem/ResetUserPasswordController?pwd=admin123 HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:05:26 +0545] "GET /StudentManagementSystem/resources/css/styles.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:05:36 +0545] "POST /StudentManagementSystem/ResetUserPasswordController HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:05:36 +0545] "GET /StudentManagementSystem/resources/css/styles.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:05:41 +0545] "GET /StudentManagementSystem/home.jsp HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:05:41 +0545] "GET /StudentManagementSystem/resources/css/styles.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:05:45 +0545] "GET /StudentManagementSystem/LogoutController HTTP/1.1" 200 1083
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:05:47 +0545] "GET /StudentManagementSystem/LoginController?action=getpassword HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:06:01 +0545] "POST /StudentManagementSystem/LoginController HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:06:01 +0545] "GET /StudentManagementSystem/resources/css/styles.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:06:38 +0545] "GET /StudentManagementSystem/UserController?action=userprofile&userid=1 HTTP/1.1" 200 2209
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:06:38 +0545] "GET /StudentManagementSystem/resources/css/styles.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:06:40 +0545] "GET /StudentManagementSystem/UserController?action=userprofile&userid=1 HTTP/1.1" 200 2209
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:06:40 +0545] "GET /StudentManagementSystem/resources/css/styles.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:06:52 +0545] "GET /StudentManagementSystem/StudentController?actions=list HTTP/1.1" 200 6180
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:06:52 +0545] "GET /StudentManagementSystem/resources/css/styles.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:06:52 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=1 HTTP/1.1" 200 9730
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:06:52 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=5 HTTP/1.1" 200 13454
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:06:52 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=12 HTTP/1.1" 200 240189
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:06:52 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=15 HTTP/1.1" 200 240189
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:06:52 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=16 HTTP/1.1" 200 135132
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:06:52 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=19 HTTP/1.1" 200 135132
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:06:52 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=21 HTTP/1.1" 200 13454
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:06:52 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=20 HTTP/1.1" 200 135132
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:06:55 +0545] "GET /StudentManagementSystem/StudentController?actions=add HTTP/1.1" 200 3725
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:06:55 +0545] "GET /StudentManagementSystem/resources/css/styles.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:07:13 +0545] "POST /StudentManagementSystem/StudentController HTTP/1.1" 500 1436
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:07:37 +0545] "GET /StudentManagementSystem/StudentController?actions=add HTTP/1.1" 200 3725
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:07:38 +0545] "GET /StudentManagementSystem/resources/css/styles.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:07:53 +0545] "POST /StudentManagementSystem/StudentController HTTP/1.1" 500 1403
